Months,Price_raw,unit_raw,source,price_usd_per_liter,fx_rial_per_usd,notes,benchmark_price_usd_per_gallon,benchmark_usd_per_liter_ross,cpi,deflator,price_usd_2015,benchmark_usd_2015,bmgap2015adj
2005-01,800,rial_per_liter,ross/iran_rial_series,0.0903852672,8851,converted from rial using BIS end-of-period IRR/USD,1.241,0.4278731836,191.60,1.24,0.111803179,0.5292630494,0.3160700046
2005-02,800,rial_per_liter,ross/iran_rial_series,0.09035464197,8854,converted from rial using BIS end-of-period IRR/USD,1.224,0.4233817701,192.40,1.23,0.1113005762,0.5215297624,0.312081194
2005-03,800,rial_per_liter,ross/iran_rial_series,0.09012053622,8877,converted from rial using BIS end-of-period IRR/USD,1.439,0.4801849406,193.10,1.23,0.1106097738,0.5893567648,0.3695751667
2005-04,800,rial_per_liter,ross/iran_rial_series,0.08985735145,8903,converted from rial using BIS end-of-period IRR/USD,1.48,0.4910171731,193.70,1.22,0.1099451317,0.6007849873,0.3810720414
2005-05,800,rial_per_liter,ross/iran_rial_series,0.08926578889,8962,converted from rial using BIS end-of-period IRR/USD,1.371,0.4622192867,193.60,1.22,0.1092777402,0.5658414017,0.3529415465
2005-06,800,rial_per_liter,ross/iran_rial_series,0.08903728436,8985,converted from rial using BIS end-of-period IRR/USD,1.509,0.498678996,193.70,1.22,0.1089417371,0.6101596253,0.389737259
2005-07,800,rial_per_liter,ross/iran_rial_series,0.0889185284,8997,converted from rial using BIS end-of-period IRR/USD,1.591,0.520343461,194.90,1.22,0.1081265729,0.6327472599,0.4122168881
2005-08,800,rial_per_liter,ross/iran_rial_series,0.0888000888,9009,converted from rial using BIS end-of-period IRR/USD,1.937,0.6117569353,196.10,1.21,0.1073217677,0.7393555185,0.5044351676
2005-09,800,rial_per_liter,ross/iran_rial_series,0.08854454898,9035,converted from rial using BIS end-of-period IRR/USD,2.133,0.6635402906,198.80,1.19,0.1055595332,0.7910481688,0.5579807574
2005-10,800,rial_per_liter,ross/iran_rial_series,0.08829047566,9061,converted from rial using BIS end-of-period IRR/USD,1.709,0.5515191546,199.10,1.19,0.1050980377,0.6565100084,0.4464211168
2005-11,800,rial_per_liter,ross/iran_rial_series,0.08813484631,9077,converted from rial using BIS end-of-period IRR/USD,1.47,0.4883751651,198.10,1.20,0.1054423768,0.5842801155,0.3829327883
2005-12,800,rial_per_liter,ross/iran_rial_series,0.08799912001,9091,converted from rial using BIS end-of-period IRR/USD,1.6,0.5227212682,198.10,1.20,0.1052799972,0.6253709541,0.417441271
2006-01,800,rial_per_liter,ross/iran_rial_series,0.08779631255,9112,converted from rial using BIS end-of-period IRR/USD,1.735,0.5583883752,199.30,1.19,0.1044049256,0.664019878,0.4539834496
2006-02,800,rial_per_liter,ross/iran_rial_series,0.08761362392,9131,converted from rial using BIS end-of-period IRR/USD,1.499,0.4960369881,199.40,1.19,0.1041354268,0.5895775239,0.3919015614
2006-03,800,rial_per_liter,ross/iran_rial_series,0.08749863283,9143,converted from rial using BIS end-of-period IRR/USD,1.765,0.5663143989,199.70,1.19,0.1038425187,0.6720963704,0.4624718803
2006-04,800,rial_per_liter,ross/iran_rial_series,0.08744125041,9149,converted from rial using BIS end-of-period IRR/USD,2.135,0.6640686922,200.70,1.18,0.1032573554,0.7841833991,0.5608113368
2006-05,800,rial_per_liter,ross/iran_rial_series,0.08734578011,9159,converted from rial using BIS end-of-period IRR/USD,2.042,0.6394980185,201.30,1.18,0.1028371812,0.7529175826,0.5366608373
2006-06,800,rial_per_liter,ross/iran_rial_series,0.08716495969,9178,converted from rial using BIS end-of-period IRR/USD,2.065,0.6455746367,201.80,1.17,0.1023700187,0.7581887019,0.543204618
2006-07,800,rial_per_liter,ross/iran_rial_series,0.08710801394,9184,converted from rial using BIS end-of-period IRR/USD,2.237,0.6910171731,202.90,1.17,0.1017485141,0.8071584625,0.5892686589
2006-08,800,rial_per_liter,ross/iran_rial_series,0.08709853021,9185,converted from rial using BIS end-of-period IRR/USD,2.038,0.6384412153,203.80,1.16,0.1012881544,0.7424526247,0.537153061
2006-09,800,rial_per_liter,ross/iran_rial_series,0.08688097307,9208,converted from rial using BIS end-of-period IRR/USD,1.583,0.5182298547,202.80,1.17,0.1015333549,0.6056287575,0.4166964998
2006-10,800,rial_per_liter,ross/iran_rial_series,0.08680555556,9216,converted from rial using BIS end-of-period IRR/USD,1.506,0.4978863937,201.90,1.17,0.1018974258,0.5844480984,0.3959889678
2006-11,800,rial_per_liter,ross/iran_rial_series,0.08680555556,9216,converted from rial using BIS end-of-period IRR/USD,1.588,0.5195508587,202.00,1.17,0.1018469816,0.6095771911,0.4177038771
2006-12,800,rial_per_liter,ross/iran_rial_series,0.08673967256,9223,converted from rial using BIS end-of-period IRR/USD,1.67,0.5412153236,203.10,1.17,0.1012184927,0.6315564458,0.4399968309
2007-01,800,rial_per_liter,ross/iran_rial_series,0.08668328096,9229,converted from rial using BIS end-of-period IRR/USD,1.432,0.478335535,203.44,1.16,0.1009851254,0.5572559489,0.3773504096
2007-02,800,rial_per_liter,ross/iran_rial_series,0.08658945773,9239,converted from rial using BIS end-of-period IRR/USD,1.64,0.5332892999,204.23,1.16,0.100486102,0.6188762971,0.4328031979
2007-03,800,rial_per_liter,ross/iran_rial_series,0.08655198529,9243,converted from rial using BIS end-of-period IRR/USD,1.938,0.6120211361,205.29,1.15,0.09992300386,0.7065694697,0.5120981322
2007-04,800,rial_per_liter,ross/iran_rial_series,0.08648648649,9250,converted from rial using BIS end-of-period IRR/USD,2.105,0.6561426684,205.90,1.15,0.09954867448,0.7552409118,0.5565939939
2007-05,800,rial_per_liter,ross/iran_rial_series,0.0863651085,9263,converted from rial using BIS end-of-period IRR/USD,2.245,0.6931307794,206.76,1.15,0.09899979901,0.7945316001,0.5941309804
2007-06,800,rial_per_liter,ross/iran_rial_series,0.08623477417,9277,converted from rial using BIS end-of-period IRR/USD,2.186,0.6775429326,207.23,1.14,0.09862191507,0.7748681689,0.5789210176
2007-07,1000,rial_per_liter,ross/iran_rial_series,0.1076194576,9292,converted from rial using BIS end-of-period IRR/USD,2.137,0.6645970938,207.60,1.14,0.1228596248,0.758711774,0.541737469
2007-08,1000,rial_per_liter,ross/iran_rial_series,0.1074113856,9310,converted from rial using BIS end-of-period IRR/USD,2.004,0.6294583884,207.67,1.14,0.122584297,0.7183755578,0.5068740913
2007-09,1000,rial_per_liter,ross/iran_rial_series,0.1072731174,9322,converted from rial using BIS end-of-period IRR/USD,2.102,0.6553500661,208.55,1.14,0.1219098973,0.7447686917,0.5334401687
2007-10,1000,rial_per_liter,ross/iran_rial_series,0.107227107,9326,converted from rial using BIS end-of-period IRR/USD,2.169,0.6730515192,209.19,1.13,0.121483048,0.7625343283,0.5515684711
2007-11,1000,rial_per_liter,ross/iran_rial_series,0.1075037626,9302,converted from rial using BIS end-of-period IRR/USD,2.424,0.7404227213,210.83,1.12,0.1208467645,0.8323214746,0.6195759567
2007-12,1000,rial_per_liter,ross/iran_rial_series,0.1077354019,9282,converted from rial using BIS end-of-period IRR/USD,2.33,0.7155878468,211.45,1.12,0.1207571979,0.8020797411,0.5948306489
2008-01,1000,rial_per_liter,ross/iran_rial_series,0.1083306251,9231,converted from rial using BIS end-of-period IRR/USD,2.334,0.7166446499,212.17,1.12,0.1210071677,0.8005043753,0.5956374822
2008-02,1000,rial_per_liter,ross/iran_rial_series,0.1086130118,9207,converted from rial using BIS end-of-period IRR/USD,2.381,0.7290620872,212.69,1.11,0.1210299691,0.8124105977,0.6080321181
2008-03,1000,rial_per_liter,ross/iran_rial_series,0.1114081996,8976,converted from rial using BIS end-of-period IRR/USD,2.504,0.7615587847,213.45,1.11,0.1237021014,0.8455968437,0.6378566833
2008-04,1000,rial_per_liter,ross/iran_rial_series,0.1094570928,9136,converted from rial using BIS end-of-period IRR/USD,2.762,0.8297225892,213.94,1.11,0.1212550594,0.9191552527,0.7084675298
2008-05,1000,rial_per_liter,ross/iran_rial_series,0.1082485386,9238,converted from rial using BIS end-of-period IRR/USD,3.098,0.9184940555,215.21,1.10,0.1192108107,1.011509461,0.7992832448
2008-06,1000,rial_per_liter,ross/iran_rial_series,0.1093135111,9148,converted from rial using BIS end-of-period IRR/USD,3.292,0.9697490092,217.46,1.09,0.1191353047,1.056880732,0.8506137045
2008-07,1000,rial_per_liter,ross/iran_rial_series,0.1077702339,9279,converted from rial using BIS end-of-period IRR/USD,3.148,0.9317040951,219.02,1.08,0.1166205253,1.008217363,0.8150835698
2008-08,1000,rial_per_liter,ross/iran_rial_series,0.1045696957,9563,converted from rial using BIS end-of-period IRR/USD,2.897,0.8653896962,218.69,1.08,0.1133258358,0.9378530741,0.7520638604
2008-09,1000,rial_per_liter,ross/iran_rial_series,0.103060909,9703,converted from rial using BIS end-of-period IRR/USD,2.805,0.8410832232,218.88,1.08,0.1115952866,0.9107325396,0.7294879366
2008-10,1000,rial_per_liter,ross/iran_rial_series,0.09991008093,10009,converted from rial using BIS end-of-period IRR/USD,1.92,0.6072655218,217.00,1.09,0.1091218185,0.6632555736,0.4981437033
2008-11,1000,rial_per_liter,ross/iran_rial_series,0.09910802775,10090,converted from rial using BIS end-of-period IRR/USD,1.283,0.4389696169,213.15,1.11,0.1101969045,0.4880845081,0.3287727124
2008-12,1000,rial_per_liter,ross/iran_rial_series,0.1017811705,9825,converted from rial using BIS end-of-period IRR/USD,0.956,0.3525759577,211.40,1.12,0.1141086527,0.3952790808,0.238467305
2009-01,1000,rial_per_liter,ross/iran_rial_series,0.1034126163,9670,converted from rial using BIS end-of-period IRR/USD,1.146,0.4027741083,211.93,1.12,0.1156450241,0.4504172036,0.2871290842
2009-02,1000,rial_per_liter,ross/iran_rial_series,0.1074113856,9310,converted from rial using BIS end-of-period IRR/USD,1.216,0.4212681638,212.71,1.11,0.1196808407,0.4693890475,0.3015873231
2009-03,1000,rial_per_liter,ross/iran_rial_series,0.1007658202,9924,converted from rial using BIS end-of-period IRR/USD,1.288,0.4402906209,212.50,1.12,0.1123871194,0.491069238,0.3279035015
2009-04,1000,rial_per_liter,ross/iran_rial_series,0.1021346134,9791,converted from rial using BIS end-of-period IRR/USD,1.379,0.464332893,212.71,1.11,0.11379917,0.5173632724,0.350533723
2009-05,1000,rial_per_liter,ross/iran_rial_series,0.1035518277,9657,converted from rial using BIS end-of-period IRR/USD,1.689,0.5462351387,213.02,1.11,0.1152087121,0.6077251192,0.4310264266
2009-06,1000,rial_per_liter,ross/iran_rial_series,0.100715077,9929,converted from rial using BIS end-of-period IRR/USD,1.906,0.6035667107,214.79,1.10,0.1111302886,0.665983135,0.4924364221
2009-07,1000,rial_per_liter,ross/iran_rial_series,0.1003713741,9963,converted from rial using BIS end-of-period IRR/USD,1.75,0.5623513871,214.73,1.10,0.1107840522,0.6206905705,0.4515673348
2009-08,1000,rial_per_liter,ross/iran_rial_series,0.1007556675,9925,converted from rial using BIS end-of-period IRR/USD,1.93,0.6099075297,215.45,1.10,0.11083708,0.6709336692,0.4990704497
2009-09,1000,rial_per_liter,ross/iran_rial_series,0.1010203051,9899,converted from rial using BIS end-of-period IRR/USD,1.779,0.57001321,215.86,1.10,0.1109140342,0.625839178,0.4590991758
2009-10,1000,rial_per_liter,ross/iran_rial_series,0.1005227181,9948,converted from rial using BIS end-of-period IRR/USD,1.924,0.608322325,216.51,1.09,0.1100373899,0.6659012219,0.4982849351
2009-11,1000,rial_per_liter,ross/iran_rial_series,0.1008674602,9914,converted from rial using BIS end-of-period IRR/USD,1.983,0.6239101717,217.23,1.09,0.1100462625,0.680685153,0.5138639092
2009-12,1000,rial_per_liter,ross/iran_rial_series,0.1001602564,9984,converted from rial using BIS end-of-period IRR/USD,1.919,0.607001321,217.35,1.09,0.1092178916,0.6618933184,0.4977834294
2010-01,1000,rial_per_liter,ross/iran_rial_series,0.09992006395,10008,converted from rial using BIS end-of-period IRR/USD,2.04,0.6389696169,217.49,1.09,0.1088853408,0.6963008403,0.5300842761
2010-02,1000,rial_per_liter,ross/iran_rial_series,0.09962143853,10038,converted from rial using BIS end-of-period IRR/USD,1.963,0.6186261559,217.28,1.09,0.1086633446,0.674774307,0.5099628113
2010-03,1000,rial_per_liter,ross/iran_rial_series,0.09988014383,10012,converted from rial using BIS end-of-period IRR/USD,2.14,0.6653896962,217.35,1.09,0.1089094415,0.7255418088,0.5564802546
2010-04,1000,rial_per_liter,ross/iran_rial_series,0.09925558313,10075,converted from rial using BIS end-of-period IRR/USD,2.227,0.6883751651,217.40,1.09,0.1082035285,0.7504325648,0.5801716366
2010-05,1000,rial_per_liter,ross/iran_rial_series,0.09610764056,10405,converted from rial using BIS end-of-period IRR/USD,2.019,0.6334214003,217.29,1.09,0.104826283,0.6908837899,0.5285951173
2010-06,1000,rial_per_liter,ross/iran_rial_series,0.0953925403,10483,converted from rial using BIS end-of-period IRR/USD,2.014,0.6321003963,217.20,1.09,0.104089903,0.6897318041,0.5280104933
2010-07,1000,rial_per_liter,ross/iran_rial_series,0.0962927299,10385,converted from rial using BIS end-of-period IRR/USD,1.995,0.6270805812,217.61,1.09,0.1048761268,0.6829776518,0.5222044544
2010-08,1000,rial_per_liter,ross/iran_rial_series,0.09556574924,10464,converted from rial using BIS end-of-period IRR/USD,1.943,0.61334214,217.92,1.09,0.103932461,0.6670397979,0.509409679
2010-09,1000,rial_per_liter,ross/iran_rial_series,0.09805844283,10198,converted from rial using BIS end-of-period IRR/USD,1.969,0.6202113606,218.28,1.09,0.1064714102,0.6734226682,0.5137399504
2010-10,1000,rial_per_liter,ross/iran_rial_series,0.09608917075,10407,converted from rial using BIS end-of-period IRR/USD,2.164,0.6717305152,219.04,1.08,0.1039711719,0.7268312168,0.5677593433
2010-11,1000,rial_per_liter,ross/iran_rial_series,0.09616309261,10399,converted from rial using BIS end-of-period IRR/USD,2.244,0.6928665786,219.59,1.08,0.1037881747,0.7478062064,0.5890784039
2010-12,1000,rial_per_liter,ross/iran_rial_series,0.09659036028,10353,converted from rial using BIS end-of-period IRR/USD,2.389,0.7311756935,220.47,1.07,0.1038322715,0.7859959619,0.627343422
2011-01,4000,rial_per_liter,ross/iran_rial_series,0.3863987635,10352,converted from rial using BIS end-of-period IRR/USD,2.448,0.7467635403,221.19,1.07,0.4140265013,0.8001575706,0.3327370389
2011-02,4000,rial_per_liter,ross/iran_rial_series,0.3881987578,10304,converted from rial using BIS end-of-period IRR/USD,2.558,0.7758256275,221.90,1.07,0.414622403,0.8286339911,0.3612032244
2011-03,4000,rial_per_liter,ross/iran_rial_series,0.3846153846,10400,converted from rial using BIS end-of-period IRR/USD,2.838,0.8498018494,223.05,1.06,0.4086807895,0.902973996,0.4411210599
2011-04,4000,rial_per_liter,ross/iran_rial_series,0.3831050666,10441,converted from rial using BIS end-of-period IRR/USD,3.178,0.9396301189,224.09,1.06,0.4051740437,0.9937580265,0.5344560751
2011-05,4000,rial_per_liter,ross/iran_rial_series,0.3781075716,10579,converted from rial using BIS end-of-period IRR/USD,3.024,0.8989431968,224.81,1.05,0.3986203691,0.9477119629,0.5003228278
2011-06,4000,rial_per_liter,ross/iran_rial_series,0.3748477181,10671,converted from rial using BIS end-of-period IRR/USD,2.835,0.849009247,224.81,1.05,0.3951836645,0.8950690354,0.4538255825
2011-07,4000,rial_per_liter,ross/iran_rial_series,0.3849485131,10391,converted from rial using BIS end-of-period IRR/USD,3.021,0.8981505945,225.40,1.05,0.4047719227,0.9444019929,0.4933786718
2011-08,4000,rial_per_liter,ross/iran_rial_series,0.3780718336,10580,converted from rial using BIS end-of-period IRR/USD,2.835,0.849009247,226.11,1.05,0.3962910348,0.8899228219,0.4527182122
2011-09,4000,rial_per_liter,ross/iran_rial_series,0.3724394786,10740,converted from rial using BIS end-of-period IRR/USD,2.768,0.8313077939,226.60,1.05,0.3895413501,0.8694802216,0.4417664438
2011-10,4000,rial_per_liter,ross/iran_rial_series,0.3714020427,10770,converted from rial using BIS end-of-period IRR/USD,2.772,0.8323645971,226.75,1.05,0.3881941651,0.8699981223,0.444170432
2011-11,4000,rial_per_liter,ross/iran_rial_series,0.3684937817,10855,converted from rial using BIS end-of-period IRR/USD,2.629,0.7945838838,227.17,1.04,0.3844440185,0.8289774116,0.4101398652
2011-12,4000,rial_per_liter,ross/iran_rial_series,0.3582624272,11165,converted from rial using BIS end-of-period IRR/USD,2.634,0.7959048877,227.22,1.04,0.3736809732,0.8301582595,0.4222239145
2012-01,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.822,0.8455746367,227.84,1.04,0.3393811742,0.8795695265,0.5061934626
2012-02,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.044,0.9042272127,228.33,1.04,0.3386573124,0.9385739782,0.5655699003
2012-03,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.167,0.9367239102,228.81,1.04,0.3379498244,0.9702738122,0.5987740857
2012-04,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,3.206,0.9470277411,229.19,1.03,0.3373894919,0.9793202437,0.6096382492
2012-05,4000,rial_per_liter,ross/iran_rial_series,0.3277613897,12204,converted from rial using BIS end-of-period IRR/USD,2.877,0.8601056803,228.71,1.04,0.3396400943,0.8912775682,0.520465586
2012-06,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.602,0.7874504624,228.52,1.04,0.3383683354,0.8166640461,0.4490821269
2012-07,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.747,0.8257595773,228.59,1.04,0.3382706395,0.8561471251,0.4874889378
